Name                                    Stmts   Miss  Cover
-----------------------------------------------------------
ohnope/__init__.py                          5      0   100%
ohnope/conftest.py                         27      0   100%
ohnope/execution/__init__.py                0      0   100%
ohnope/execution/crypts.py                 18      0   100%
ohnope/execution/service.py                19      0   100%
ohnope/execution/test/__init__.py           0      0   100%
ohnope/execution/test/test_crypts.py        4      0   100%
ohnope/execution/test/test_service.py       4      0   100%
ohnope/ohnope/__init__.py                   4      0   100%
ohnope/ohnope/config.py                    56      0   100%
ohnope/ohnope/ohnope.py                   142      0   100%
ohnope/ohnope/params/__init__.py            2      0   100%
ohnope/ohnope/params/ohnope.py             57      0   100%
ohnope/ohnope/test/__init__.py              2      0   100%
ohnope/ohnope/test/test_config.py          20      0   100%
ohnope/ohnope/test/test_ohnope.py          25      0   100%
ohnope/ohnope/test/test_service.py         21      0   100%
ohnope/plugins/__init__.py                 19      0   100%
ohnope/plugins/chanserv/__init__.py         3      0   100%
ohnope/plugins/chanserv/params.py          13      0   100%
ohnope/plugins/chanserv/plugin.py          35      0   100%
ohnope/plugins/chatserv/__init__.py         3      0   100%
ohnope/plugins/chatserv/params.py          13      0   100%
ohnope/plugins/chatserv/plugin.py          35      0   100%
ohnope/plugins/helpserv/__init__.py         3      0   100%
ohnope/plugins/helpserv/params.py          13      0   100%
ohnope/plugins/helpserv/plugin.py          35      0   100%
ohnope/plugins/hostserv/__init__.py         3      0   100%
ohnope/plugins/hostserv/params.py          13      0   100%
ohnope/plugins/hostserv/plugin.py          35      0   100%
ohnope/plugins/memoserv/__init__.py         3      0   100%
ohnope/plugins/memoserv/params.py          13      0   100%
ohnope/plugins/memoserv/plugin.py          35      0   100%
ohnope/plugins/nickserv/__init__.py         3      0   100%
ohnope/plugins/nickserv/params.py          13      0   100%
ohnope/plugins/nickserv/plugin.py          35      0   100%
ohnope/plugins/operserv/__init__.py         3      0   100%
ohnope/plugins/operserv/params.py          13      0   100%
ohnope/plugins/operserv/plugin.py          35      0   100%
ohnope/plugins/rootserv/__init__.py         3      0   100%
ohnope/plugins/rootserv/params.py          13      0   100%
ohnope/plugins/rootserv/plugin.py          35      0   100%
ohnope/plugins/statserv/__init__.py         3      0   100%
ohnope/plugins/statserv/params.py          13      0   100%
ohnope/plugins/statserv/plugin.py          35      0   100%
-----------------------------------------------------------
TOTAL                                     884      0   100%
